"Profile_userId","side","ACC_vectorMagnitude","ACC_min_x","ACC_min_y","ACC_min_z","ACC_max_x","ACC_max_y","ACC_max_z","ACC_mean_x","ACC_mean_y","ACC_mean_z","ACC_var_x","ACC_var_y","ACC_var_z","ACC_std_x","ACC_std_y","ACC_std_z","ACC_skew_x","ACC_skew_y","ACC_skew_z","ACC_kurt_x","ACC_kurt_y","ACC_kurt_z","ACC_median_x","ACC_median_y","ACC_median_z","ACC_parcentile25_x","ACC_parcentile25_y","ACC_parcentile25_z","ACC_parcentile50_x","ACC_parcentile50_y","ACC_parcentile50_z","ACC_parcentile75_x","ACC_parcentile75_y","ACC_parcentile75_z","ACC_corr_xy","ACC_corr_yz","ACC_corr_xz","ACC_zerocross_x","ACC_zerocross_y","ACC_zerocross_z","ACC_energy_x","ACC_energy_y","ACC_energy_z","ACC_dominantFr_x","ACC_dominantFr_y","ACC_dominantFr_z","ACC_dominantMag_x","ACC_dominantMag_y","ACC_dominantMag_z","ACC_entropy_x","ACC_entropy_y","ACC_entropy_z","ACC_min_vm","ACC_max_vm","ACC_mean_vm","ACC_var_vm","ACC_std_vm","ACC_skew_vm","ACC_kurt_vm","ACC_median_vm","ACC_parcentile25_vm","ACC_parcentile50_vm","ACC_parcentile75_vm","ACC_energy_vm","ACC_dominantFr_vm","ACC_dominantMag_vm","ACC_entropy_vm","Profile_age","Profile_height_M","Profile_weight_KG","Profile_bmi","Profile_bsa_M2","Profile_gmfcs","Label_PA_Name"
"Aus_1","Left",1.01396554678863,-0.52,-0.242,0.824,-0.449,-0.188,0.926,-0.516936666666666,-0.2,0.849023333333337,4.5009353400223e-05,1.14180602006689e-05,2.65713600891862e-05,0.00670890105756695,0.00337906202971608,0.005154741515264,4.65354761209553,-6.61145034429414,11.0841371680409,36.7740500362355,80.2145553556018,169.295400220886,-0.52,-0.199,0.848,-0.52,-0.199,0.848,-0.52,-0.199,0.848,-0.516,-0.199,0.848,-0.629364310416352,0.0785324349061548,0.225871242617135,0,12,2,80.180513,12.003414,216.260131,1,1,1,0.584718658048115,0.0633791885785949,0.0665637225480134,1.05648719570365,0.746113633234462,0.624388949408546,0.976954963138015,1.06902759552782,1.01396554678863,2.07992564983313e-05,0.00456062018790551,3.40202563002489,87.9533837494791,1.01444812583,1.01444812583,1.01444812583,1.01444812583,308.444058,99,0.0218433108510925,1.62557022250692,9,1.34,30.6,17,1.072,1,"Lying"
"Aus_1","Left",1.00240481757266,-1.688,-0.695,-0.176,-0.285,0.324,1.766,-0.6401,-0.27735,0.582193333333333,0.0234317692307692,0.0361373051839465,0.130400163166109,0.153074391165764,0.190098146187559,0.36110962762866,-1.20640847301996,-0.578386799560459,-0.631508731489146,5.89815123581425,-0.483551336280059,-0.765217198415421,-0.621,-0.203,0.787,-0.762,-0.43,0.27325,-0.621,-0.203,0.787,-0.512,-0.176,0.852,0.391294350322738,0.876720891699471,0.612896110581343,19,40,17,129.924502,33.881961,140.674372,1,1,1,553.20541598369,819.943239729263,3966.35591129515,3.95709952208844,4.01650470447943,4.07033066127829,0.741699400026722,2.46436117482807,1.00240481757266,0.0101545468633399,0.100769771575309,10.1246617073396,148.838107272229,1.01112956571399,0.972759852505437,1.01112956571399,1.01533098051818,304.480834999999,18,17.2862784142335,5.22013177170234,9,1.34,30.6,17,1.072,1,"Lying"
"Aus_1","Left",1.01732231381213,-0.949,-0.379,0.539,-0.398,0.402,1.348,-0.560833333333333,-0.0572633333333333,0.841223333333333,0.00400440691192863,0.00256000734671125,0.0056169165105908,0.0632803833105381,0.0505965151637072,0.0749460906958515,-2.57588701224974,0.638588097063594,0.162363634998115,7.62434650171609,31.117274524259,13.9908060904474,-0.539,-0.051,0.859,-0.551,-0.055,0.855,-0.539,-0.051,0.859,-0.531,-0.051,0.863,0.115773415678718,0.423505786345904,0.477261994580149,29,51,31,95.5575259999999,1.749169,213.976467,1,5,1,51.2830137819654,5.6652090860919,36.3520455282912,2.8322375150937,2.24939969251421,2.55362631681661,0.787839450649687,1.53435002525499,1.01732231381213,0.00267476570561501,0.0517181371050332,6.28446933653173,63.2463141178909,1.01628490099971,1.01326551308134,1.01628490099971,1.01950723391254,311.283162000001,13,3.34569698728842,4.69444863936449,9,1.34,30.6,17,1.072,1,"Lying"
"Aus_1","Left",1.01434064315875,-0.535,-0.063,0.855,-0.523,-0.043,0.871,-0.523999999999998,-0.0550399999999998,0.866759999999996,5.89966555183947e-06,2.72749163879601e-06,3.15290969899662e-06,0.00242892271425821,0.00165151192511468,0.00177564346055074,-2.70109257281117,1.36477567275604,-2.36056851207694,7.28117219149578,18.5886694775158,12.435880669607,-0.523,-0.055,0.867,-0.523,-0.055,0.867,-0.523,-0.055,0.867,-0.523,-0.055,0.867,0.0566946807601533,-0.131019445886848,0.217128774184153,0,13,16,82.3745640000001,0.909636000000001,225.382812,1,108,1,0.0790635403885286,0.00298626784058195,0.00468517739165906,0.611476907019012,0.424774416924348,0.507466696942689,1.00587225829128,1.02388817748815,1.01434064315875,3.11000296501187e-06,0.00176352004950663,2.12285432624864,12.0119074711531,1.01402317527757,1.01402317527757,1.01402317527757,1.01402317527757,308.667012,1,0.00807552405933784,1.07697091910677,9,1.34,30.6,17,1.072,1,"Lying"
"Aus_1","Left",1.01402317527757,-0.523,-0.055,0.867,-0.523,-0.055,0.867,-0.522999999999998,-0.0549999999999998,0.866999999999996,2.78261450158958e-30,3.52174647857432e-32,1.34678541876936e-29,1.66811705272429e-15,1.87663168431483e-16,3.66985751599345e-15,0,0,0,0,0,0,-0.523,-0.055,0.867,-0.523,-0.055,0.867,-0.523,-0.055,0.867,-0.523,-0.055,0.867,0,0,0,0,0,0,82.0587,0.9075,225.5067,0,0,0,0,0,1.10933564796705e-27,0,0,0,1.01402317527757,1.01402317527757,1.01402317527757,1.23671755626204e-30,1.11207803514953e-15,0,0,1.01402317527757,1.01402317527757,1.01402317527757,1.01402317527757,308.4729,0,0,0,9,1.34,30.6,17,1.072,1,"Lying"
"Aus_1","Left",1.01625861668186,-0.523,-0.117,0.828,-0.395,-0.027,0.922,-0.499920000000001,-0.0649766666666666,0.88183,0.000615632374581938,0.000182477714604236,0.000277064648829432,0.0248119401615822,0.0135084312414224,0.0166452590496343,0.481710107113909,-0.897686534381396,0.293172651476258,-0.669474067160716,-0.0256968717702803,-1.15630031480324,-0.5175,-0.055,0.867,-0.523,-0.074,0.867,-0.5175,-0.055,0.867,-0.477,-0.055,0.898,-0.839043719454505,-0.734707809074322,0.854420147153369,1,6,2,75.1600760000001,1.321151,233.370087,1,1,1,18.0238296717939,3.97659465567998,7.94285618837459,1.86959070924119,1.89087185309675,1.75710825773256,0.959897390349614,1.05566898220986,1.01625861668186,5.63251035597541e-05,0.0075050052338259,-1.52989276512662,22.0081108170262,1.01402317527757,1.01402317527757,1.01402317527757,1.01878800542606,309.851314,1,0.230418051524599,3.04762626814157,9,1.34,30.6,17,1.072,1,"Lying"
"Aus_1","Left",1.02027621055645,-0.656,-0.254,0.875,-0.004,-0.039,1.047,-0.354576666666666,-0.139433333333333,0.940913333333333,0.00889228507246381,0.0009928751393534,0.000816193132664437,0.0942989134214377,0.0315099212844685,0.028569094011964,1.32354490864278,-0.962515348502447,0.62975816522569,2.25593099426447,1.09143829290684,0.923650442814901,-0.359,-0.129,0.945,-0.414,-0.148,0.922,-0.359,-0.129,0.945,-0.348,-0.121,0.949,-0.856052248702999,-0.728508155565712,0.858785834017818,23,38,45,40.376177,6.129366,265.839412,1,1,1,137.769230253532,22.3395971528009,10.3516841959958,3.60812130775109,3.1271285142613,3.06971512242969,0.972163566484571,1.13270516905327,1.02027621055645,0.000186927263453047,0.0136721345609618,2.49283097679254,19.9312466976688,1.02020757688151,1.0162387738031,1.02020757688151,1.02298533460771,312.344955,107,0.479401476854969,5.34557426468428,9,1.34,30.6,17,1.072,1,"Lying"
"Aus_1","Left",1.02103904517872,-0.363,-0.137,0.941,-0.348,-0.117,0.953,-0.354420000000001,-0.126413333333333,0.949159999999999,5.19424749163874e-06,1.58687179487179e-05,9.82046822742473e-06,0.00227908918027328,0.00398355594271223,0.00313376263099564,-0.524143153775126,0.14171380139008,-0.448412445406323,1.93561188802325,0.126240349895521,-0.308632780889668,-0.355,-0.125,0.949,-0.355,-0.129,0.949,-0.355,-0.125,0.949,-0.352,-0.125,0.953,-0.229162109134118,0.0824739592950707,0.0581410805399003,28,59,43,37.685614,4.79884399999999,270.274348,2,20,1,0.0318136722777252,0.0395901127318639,0.0713491388402098,0.998046888027996,1.38051773642547,1.1386986432569,1.01292941511243,1.02563297528892,1.02103904517872,8.65038848202561e-06,0.00294115427715474,-0.414191099393174,-0.410101469411561,1.02090694972657,1.01978244161414,1.02090694972657,1.02460541178296,312.758806,1,0.0593233793046274,3.17128423844788,9,1.34,30.6,17,1.072,1,"Lying"
"Aus_1","Left",1.0233445485434,-0.488,-0.207,0.883,-0.316,-0.086,0.984,-0.36197,-0.12752,0.948196666666669,0.000568055953177257,0.000161387558528428,0.000192961192865106,0.0238339244183004,0.0127038403063179,0.0138910472198861,-3.06859967916742,-2.40903062280899,-2.62790419480643,9.65407082808089,12.5274880535653,7.58500782594023,-0.355,-0.125,0.953,-0.355,-0.125,0.953,-0.355,-0.125,0.953,-0.355,-0.125,0.953,-0.315273522411517,-0.0611078403597312,0.830581465684918,14,7,10,39.4765330000001,4.92666,269.780771,1,2,1,3.5086051943332,0.676685000828781,1.70582481984272,1.07873363472644,1.00968522326604,1.05446377142866,0.978180453699623,1.05250843227026,1.0233445485434,4.59681938021126e-05,0.00677998479364907,-2.00111954242213,14.3923929322109,1.02462627333092,1.02462627333092,1.02462627333092,1.02462627333092,314.183964,1,0.124946146222662,1.31002937357514,9,1.34,30.6,17,1.072,1,"Lying"
"Aus_1","Left",1.02080014547298,-0.422,-0.195,0.914,-0.277,-0.125,0.969,-0.341376666666666,-0.164333333333333,0.947583333333336,0.000430570022296545,8.21293199554067e-05,7.89328316610928e-05,0.020750181259366,0.00906252282509714,0.00888441509954892,-2.50165169699091,0.938071870004618,-2.16390822337308,6.67016194355998,1.85164199521269,4.88775727948347,-0.336,-0.164,0.949,-0.34,-0.172,0.949,-0.336,-0.164,0.949,-0.332,-0.16,0.953,-0.639388398434391,-0.460482014751411,0.879290594917664,24,39,44,35.090149,8.12618999999999,269.397853,1,1,1,4.33622031368454,0.665766077764416,0.665494743457746,2.20400995275273,2.12136227753737,1.56792215775157,1.00128966837774,1.03272164691169,1.02080014547298,1.44177281067076e-05,0.00379706835686529,-0.664560821981683,3.16072507015982,1.02068653366251,1.01868591822995,1.02068653366251,1.02306255918199,312.614192,8,0.0204921335076141,4.52545370630622,9,1.34,30.6,17,1.072,1,"Lying"
